index,x_pos,y_pos,z_pos
0,280.0,40.0,298.0
1,280.0,41.0,298.0
2,280.0,42.0,298.0
3,280.0,43.0,298.0
4,280.0,44.0,298.0
5,280.0,45.0,298.0
6,280.0,46.0,298.0
7,280.0,47.0,298.0
8,280.0,48.0,298.0
9,280.0,49.0,298.0
10,280.0,50.0,298.0
11,280.0,51.0,298.0
12,280.0,52.0,298.0
13,280.0,53.0,298.0
14,280.0,54.0,298.0
15,280.0,55.0,298.0
16,280.0,56.0,298.0
17,280.0,57.0,298.0
18,280.0,58.0,298.0
19,280.0,59.0,298.0
20,280.0,60.0,298.0
21,280.0,61.0,298.0
22,280.0,62.0,298.0
23,280.0,63.0,298.0
24,280.0,64.0,298.0
25,280.0,65.0,298.0
26,280.0,66.0,298.0
27,280.0,67.0,298.0
28,280.0,68.0,298.0
29,280.0,69.0,298.0
30,280.0,70.0,298.0
31,279.0,70.0,298.0
32,278.0,70.0,298.0
33,277.0,70.0,298.0
34,276.0,70.0,298.0
35,275.0,70.0,298.0
36,274.0,70.0,298.0
37,273.0,70.0,298.0
38,272.0,70.0,298.0
39,271.0,70.0,298.0
40,270.0,70.0,298.0
41,271.0,70.0,298.0
42,272.0,70.0,298.0
43,273.0,70.0,298.0
44,274.0,70.0,298.0
45,275.0,70.0,298.0
46,276.0,70.0,298.0
47,277.0,70.0,298.0
48,278.0,70.0,298.0
49,279.0,70.0,298.0
50,280.0,70.0,298.0
51,281.0,70.0,298.0
52,282.0,70.0,298.0
53,283.0,70.0,298.0
54,284.0,70.0,298.0
55,285.0,70.0,298.0
56,286.0,70.0,298.0
57,287.0,70.0,298.0
58,288.0,70.0,298.0
59,289.0,70.0,298.0
60,290.0,70.0,298.0
61,289.0,70.0,298.0
62,288.0,70.0,298.0
63,287.0,70.0,298.0
64,286.0,70.0,298.0
65,285.0,70.0,298.0
66,284.0,70.0,298.0
67,283.0,70.0,298.0
68,282.0,70.0,298.0
69,281.0,70.0,298.0
70,280.0,70.0,298.0
71,279.0,70.0,298.0
72,278.0,70.0,298.0
73,277.0,70.0,298.0
74,276.0,70.0,298.0
75,275.0,70.0,298.0
76,274.0,70.0,298.0
77,273.0,70.0,298.0
78,272.0,70.0,298.0
79,271.0,70.0,298.0
80,270.0,70.0,298.0
81,271.0,70.0,298.0
82,272.0,70.0,298.0
83,273.0,70.0,298.0
84,274.0,70.0,298.0
85,275.0,70.0,298.0
86,276.0,70.0,298.0
87,277.0,70.0,298.0
88,278.0,70.0,298.0
89,279.0,70.0,298.0
90,280.0,70.0,298.0
91,279.0,70.0,298.0
92,278.0,70.0,298.0
93,277.0,70.0,298.0
94,276.0,70.0,298.0
95,275.0,70.0,298.0
96,274.0,70.0,298.0
97,273.0,70.0,298.0
98,272.0,70.0,298.0
99,271.0,70.0,298.0
100,270.0,70.0,298.0
101,271.0,70.0,298.0
102,272.0,70.0,298.0
103,273.0,70.0,298.0
104,274.0,70.0,298.0
105,275.0,70.0,298.0
106,276.0,70.0,298.0
107,277.0,70.0,298.0
108,278.0,70.0,298.0
109,279.0,70.0,298.0
110,280.0,70.0,298.0
111,281.0,70.0,298.0
112,282.0,70.0,298.0
113,283.0,70.0,298.0
114,284.0,70.0,298.0
115,285.0,70.0,298.0
116,286.0,70.0,298.0
117,287.0,70.0,298.0
118,288.0,70.0,298.0
119,289.0,70.0,298.0
120,290.0,70.0,298.0
121,291.0,70.0,298.0
122,292.0,70.0,298.0
123,293.0,70.0,298.0
124,294.0,70.0,298.0
125,295.0,70.0,298.0
126,296.0,70.0,298.0
127,297.0,70.0,298.0
