index,x_pos,y_pos,z_pos
0,5.0,125.0,50.0
1,5.0,124.0,50.0
2,5.0,123.0,50.0
3,5.0,122.0,50.0
4,5.0,121.0,50.0
5,5.0,120.0,50.0
6,5.0,119.0,50.0
7,5.0,118.0,50.0
8,5.0,117.0,50.0
9,5.0,116.0,50.0
10,5.0,115.0,50.0
11,5.0,114.0,50.0
12,5.0,113.0,50.0
13,5.0,112.0,50.0
14,5.0,111.0,50.0
15,5.0,110.0,50.0
16,5.0,109.0,50.0
17,5.0,108.0,50.0
18,5.0,107.0,50.0
19,5.0,106.0,50.0
20,5.0,105.0,50.0
21,5.0,106.0,50.0
22,5.0,107.0,50.0
23,5.0,108.0,50.0
24,5.0,109.0,50.0
25,5.0,110.0,50.0
26,5.0,111.0,50.0
27,5.0,112.0,50.0
28,5.0,113.0,50.0
29,5.0,114.0,50.0
30,5.0,115.0,50.0
31,5.0,114.0,50.0
32,5.0,113.0,50.0
33,5.0,112.0,50.0
34,5.0,111.0,50.0
35,5.0,110.0,50.0
36,5.0,109.0,50.0
37,5.0,108.0,50.0
38,5.0,107.0,50.0
39,5.0,106.0,50.0
40,5.0,105.0,50.0
41,5.0,104.0,50.0
42,5.0,103.0,50.0
43,5.0,102.0,50.0
44,5.0,101.0,50.0
45,5.0,100.0,50.0
46,5.0,99.0,50.0
47,5.0,98.0,50.0
48,5.0,97.0,50.0
49,5.0,96.0,50.0
50,5.0,95.0,50.0
51,5.0,94.0,50.0
52,5.0,93.0,50.0
53,5.0,92.0,50.0
54,5.0,91.0,50.0
55,5.0,90.0,50.0
56,5.0,89.0,50.0
57,5.0,88.0,50.0
58,5.0,87.0,50.0
59,5.0,86.0,50.0
60,5.0,85.0,50.0
61,5.0,84.0,50.0
62,5.0,83.0,50.0
63,5.0,82.0,50.0
64,5.0,81.0,50.0
65,5.0,80.0,50.0
66,5.0,79.0,50.0
67,5.0,78.0,50.0
68,5.0,77.0,50.0
69,5.0,76.0,50.0
70,5.0,75.0,50.0
71,6.0,75.0,50.0
72,7.0,75.0,50.0
73,8.0,75.0,50.0
74,9.0,75.0,50.0
75,10.0,75.0,50.0
76,11.0,75.0,50.0
77,12.0,75.0,50.0
78,13.0,75.0,50.0
79,14.0,75.0,50.0
80,15.0,75.0,50.0
81,14.0,75.0,50.0
82,13.0,75.0,50.0
83,12.0,75.0,50.0
84,11.0,75.0,50.0
85,10.0,75.0,50.0
86,9.0,75.0,50.0
87,8.0,75.0,50.0
88,7.0,75.0,50.0
89,6.0,75.0,50.0
90,5.0,75.0,50.0
91,5.0,74.0,50.0
92,5.0,73.0,50.0
93,5.0,72.0,50.0
94,5.0,71.0,50.0
95,5.0,70.0,50.0
96,5.0,69.0,50.0
97,5.0,68.0,50.0
98,5.0,67.0,50.0
99,5.0,66.0,50.0
100,5.0,65.0,50.0
101,5.0,64.0,50.0
102,5.0,63.0,50.0
103,5.0,62.0,50.0
104,5.0,61.0,50.0
105,5.0,60.0,50.0
106,5.0,59.0,50.0
107,5.0,58.0,50.0
108,5.0,57.0,50.0
109,5.0,56.0,50.0
110,5.0,55.0,50.0
111,5.0,56.0,50.0
112,5.0,57.0,50.0
113,5.0,58.0,50.0
114,5.0,59.0,50.0
115,5.0,60.0,50.0
116,5.0,61.0,50.0
117,5.0,62.0,50.0
118,5.0,63.0,50.0
