index,x_pos,y_pos,z_pos
0,280.0,20.0,54.0
1,280.0,21.0,54.0
2,280.0,22.0,54.0
3,280.0,23.0,54.0
4,280.0,24.0,54.0
5,280.0,25.0,54.0
6,280.0,26.0,54.0
7,280.0,27.0,54.0
8,280.0,28.0,54.0
9,280.0,29.0,54.0
10,280.0,30.0,54.0
11,280.0,31.0,54.0
12,280.0,32.0,54.0
13,280.0,33.0,54.0
14,280.0,34.0,54.0
15,280.0,35.0,54.0
16,280.0,36.0,54.0
17,280.0,37.0,54.0
18,280.0,38.0,54.0
19,280.0,39.0,54.0
20,280.0,40.0,54.0
21,280.0,41.0,54.0
22,280.0,42.0,54.0
23,280.0,43.0,54.0
24,280.0,44.0,54.0
25,280.0,45.0,54.0
26,280.0,46.0,54.0
27,280.0,47.0,54.0
28,280.0,48.0,54.0
29,280.0,49.0,54.0
30,280.0,50.0,54.0
31,280.0,51.0,54.0
32,280.0,52.0,54.0
33,280.0,53.0,54.0
34,280.0,54.0,54.0
35,280.0,55.0,54.0
36,280.0,56.0,54.0
37,280.0,57.0,54.0
38,280.0,58.0,54.0
39,280.0,59.0,54.0
40,280.0,60.0,54.0
41,280.0,61.0,54.0
42,280.0,62.0,54.0
43,280.0,63.0,54.0
44,280.0,64.0,54.0
45,280.0,65.0,54.0
46,280.0,66.0,54.0
47,280.0,67.0,54.0
48,280.0,68.0,54.0
49,280.0,69.0,54.0
50,280.0,70.0,54.0
51,280.0,69.0,54.0
52,280.0,68.0,54.0
53,280.0,67.0,54.0
54,280.0,66.0,54.0
55,280.0,65.0,54.0
56,280.0,64.0,54.0
57,280.0,63.0,54.0
58,280.0,62.0,54.0
59,280.0,61.0,54.0
60,280.0,60.0,54.0
61,280.0,59.0,54.0
62,280.0,58.0,54.0
63,280.0,57.0,54.0
64,280.0,56.0,54.0
65,280.0,55.0,54.0
66,280.0,54.0,54.0
67,280.0,53.0,54.0
68,280.0,52.0,54.0
69,280.0,51.0,54.0
70,280.0,50.0,54.0
71,280.0,51.0,54.0
72,280.0,52.0,54.0
73,280.0,53.0,54.0
74,280.0,54.0,54.0
75,280.0,55.0,54.0
76,280.0,56.0,54.0
77,280.0,57.0,54.0
78,280.0,58.0,54.0
79,280.0,59.0,54.0
80,280.0,60.0,54.0
81,280.0,59.0,54.0
82,280.0,58.0,54.0
83,280.0,57.0,54.0
84,280.0,56.0,54.0
85,280.0,55.0,54.0
86,280.0,54.0,54.0
87,280.0,53.0,54.0
88,280.0,52.0,54.0
89,280.0,51.0,54.0
90,280.0,50.0,54.0
91,280.0,51.0,54.0
92,280.0,52.0,54.0
93,280.0,53.0,54.0
94,280.0,54.0,54.0
95,280.0,55.0,54.0
96,280.0,56.0,54.0
97,280.0,57.0,54.0
98,280.0,58.0,54.0
99,280.0,59.0,54.0
100,280.0,60.0,54.0
101,280.0,61.0,54.0
102,280.0,62.0,54.0
103,280.0,63.0,54.0
104,280.0,64.0,54.0
105,280.0,65.0,54.0
106,280.0,66.0,54.0
107,280.0,67.0,54.0
108,280.0,68.0,54.0
109,280.0,69.0,54.0
110,280.0,70.0,54.0
111,280.0,69.0,54.0
112,280.0,68.0,54.0
113,280.0,67.0,54.0
114,280.0,66.0,54.0
115,280.0,65.0,54.0
116,280.0,64.0,54.0
117,280.0,63.0,54.0
118,280.0,62.0,54.0
119,280.0,61.0,54.0
120,280.0,60.0,54.0
121,280.0,61.0,54.0
122,280.0,62.0,54.0
123,280.0,63.0,54.0
124,280.0,64.0,54.0
125,280.0,65.0,54.0
126,280.0,66.0,54.0
127,280.0,67.0,54.0
128,280.0,68.0,54.0
129,280.0,69.0,54.0
130,280.0,70.0,54.0
131,281.0,70.0,54.0
132,282.0,70.0,54.0
133,283.0,70.0,54.0
134,284.0,70.0,54.0
135,285.0,70.0,54.0
136,286.0,70.0,54.0
137,287.0,70.0,54.0
138,288.0,70.0,54.0
139,289.0,70.0,54.0
140,290.0,70.0,54.0
141,291.0,70.0,54.0
142,292.0,70.0,54.0
143,293.0,70.0,54.0
144,294.0,70.0,54.0
145,295.0,70.0,54.0
146,296.0,70.0,54.0
