index,x_pos,y_pos
0,145.0,95.0
1,145.0,96.0
2,145.0,97.0
3,145.0,98.0
4,145.0,99.0
5,145.0,100.0
6,145.0,101.0
7,145.0,102.0
8,145.0,103.0
9,145.0,104.0
10,145.0,105.0
11,145.0,104.0
12,145.0,103.0
13,145.0,102.0
14,145.0,101.0
15,145.0,100.0
16,145.0,99.0
17,145.0,98.0
18,145.0,97.0
19,145.0,96.0
20,145.0,95.0
21,145.0,96.0
22,145.0,97.0
23,145.0,98.0
24,145.0,99.0
25,145.0,100.0
26,145.0,101.0
27,145.0,102.0
28,145.0,103.0
29,145.0,104.0
30,145.0,105.0
31,145.0,106.0
32,145.0,107.0
33,145.0,108.0
34,145.0,109.0
35,145.0,110.0
36,145.0,111.0
37,145.0,112.0
38,145.0,113.0
39,145.0,114.0
40,145.0,115.0
41,145.0,116.0
42,145.0,117.0
43,145.0,118.0
44,145.0,119.0
45,145.0,120.0
46,145.0,121.0
47,145.0,122.0
48,145.0,123.0
49,145.0,124.0
50,145.0,125.0
51,145.0,126.0
52,145.0,127.0
53,145.0,128.0
54,145.0,129.0
55,145.0,130.0
56,145.0,131.0
57,145.0,132.0
58,145.0,133.0
59,145.0,134.0
60,145.0,135.0
61,145.0,136.0
62,145.0,137.0
63,145.0,138.0
64,145.0,139.0
65,145.0,140.0
66,145.0,141.0
67,145.0,142.0
68,145.0,143.0
69,145.0,144.0
70,145.0,145.0
71,144.0,145.0
72,143.0,145.0
73,142.0,145.0
74,141.0,145.0
75,140.0,145.0
76,139.0,145.0
77,138.0,145.0
78,137.0,145.0
79,136.0,145.0
80,135.0,145.0
81,136.0,145.0
82,137.0,145.0
83,138.0,145.0
84,139.0,145.0
85,140.0,145.0
86,141.0,145.0
87,142.0,145.0
88,143.0,145.0
89,144.0,145.0
90,145.0,145.0
91,145.0,146.0
92,145.0,147.0
93,145.0,148.0
94,145.0,149.0
95,145.0,150.0
96,145.0,151.0
97,145.0,152.0
98,145.0,153.0
99,145.0,154.0
100,145.0,155.0
101,145.0,154.0
102,145.0,153.0
103,145.0,152.0
104,145.0,151.0
105,145.0,150.0
106,145.0,149.0
107,145.0,148.0
108,145.0,147.0
109,145.0,146.0
110,145.0,145.0
111,144.0,145.0
112,143.0,145.0
113,142.0,145.0
114,141.0,145.0
115,140.0,145.0
116,139.0,145.0
117,138.0,145.0
118,137.0,145.0
119,136.0,145.0
120,135.0,145.0
121,136.0,145.0
122,137.0,145.0
123,138.0,145.0
124,139.0,145.0
125,140.0,145.0
126,141.0,145.0
127,142.0,145.0
128,143.0,145.0
129,144.0,145.0
130,145.0,145.0
131,145.0,146.0
132,145.0,147.0
133,145.0,148.0
134,145.0,149.0
135,145.0,150.0
136,145.0,151.0
137,145.0,152.0
138,145.0,153.0
139,145.0,154.0
140,145.0,155.0
141,145.0,154.0
142,145.0,153.0
143,145.0,152.0
144,145.0,151.0
145,145.0,150.0
146,145.0,149.0
147,145.0,148.0
148,145.0,147.0
149,145.0,146.0
150,145.0,145.0
151,145.0,144.0
152,145.0,143.0
153,145.0,142.0
154,145.0,141.0
155,145.0,140.0
156,145.0,139.0
157,145.0,138.0
158,145.0,137.0
159,145.0,136.0
160,145.0,135.0
161,145.0,136.0
162,145.0,137.0
163,145.0,138.0
164,145.0,139.0
165,145.0,140.0
166,145.0,141.0
167,145.0,142.0
168,145.0,143.0
169,145.0,144.0
170,145.0,145.0
171,145.0,146.0
172,145.0,147.0
173,145.0,148.0
174,145.0,149.0
175,145.0,150.0
176,145.0,151.0
177,145.0,152.0
178,145.0,153.0
