index,x_pos,y_pos,z_pos
0,135.0,75.0,52.0
1,136.0,75.0,52.0
2,137.0,75.0,52.0
3,138.0,75.0,52.0
4,139.0,75.0,52.0
5,140.0,75.0,52.0
6,141.0,75.0,52.0
7,142.0,75.0,52.0
8,143.0,75.0,52.0
9,144.0,75.0,52.0
10,145.0,75.0,52.0
11,145.0,74.0,52.0
12,145.0,73.0,52.0
13,145.0,72.0,52.0
14,145.0,71.0,52.0
15,145.0,70.0,52.0
16,145.0,69.0,52.0
17,145.0,68.0,52.0
18,145.0,67.0,52.0
19,145.0,66.0,52.0
20,145.0,65.0,52.0
21,145.0,66.0,52.0
22,145.0,67.0,52.0
23,145.0,68.0,52.0
24,145.0,69.0,52.0
25,145.0,70.0,52.0
26,145.0,71.0,52.0
27,145.0,72.0,52.0
28,145.0,73.0,52.0
29,145.0,74.0,52.0
30,145.0,75.0,52.0
31,146.0,75.0,52.0
32,147.0,75.0,52.0
33,148.0,75.0,52.0
34,149.0,75.0,52.0
35,150.0,75.0,52.0
36,151.0,75.0,52.0
37,152.0,75.0,52.0
38,153.0,75.0,52.0
39,154.0,75.0,52.0
40,155.0,75.0,52.0
41,156.0,75.0,52.0
42,157.0,75.0,52.0
43,158.0,75.0,52.0
44,159.0,75.0,52.0
45,160.0,75.0,52.0
46,161.0,75.0,52.0
47,162.0,75.0,52.0
48,163.0,75.0,52.0
49,164.0,75.0,52.0
50,165.0,75.0,52.0
51,164.0,75.0,52.0
52,163.0,75.0,52.0
53,162.0,75.0,52.0
54,161.0,75.0,52.0
55,160.0,75.0,52.0
56,159.0,75.0,52.0
57,158.0,75.0,52.0
58,157.0,75.0,52.0
59,156.0,75.0,52.0
60,155.0,75.0,52.0
61,154.0,75.0,52.0
62,153.0,75.0,52.0
63,152.0,75.0,52.0
64,151.0,75.0,52.0
65,150.0,75.0,52.0
66,149.0,75.0,52.0
67,148.0,75.0,52.0
68,147.0,75.0,52.0
69,146.0,75.0,52.0
70,145.0,75.0,52.0
71,145.0,74.0,52.0
72,145.0,73.0,52.0
73,145.0,72.0,52.0
74,145.0,71.0,52.0
75,145.0,70.0,52.0
76,145.0,69.0,52.0
77,145.0,68.0,52.0
78,145.0,67.0,52.0
79,145.0,66.0,52.0
80,145.0,65.0,52.0
81,145.0,66.0,52.0
82,145.0,67.0,52.0
83,145.0,68.0,52.0
84,145.0,69.0,52.0
85,145.0,70.0,52.0
86,145.0,71.0,52.0
87,145.0,72.0,52.0
88,145.0,73.0,52.0
89,145.0,74.0,52.0
90,145.0,75.0,52.0
91,145.0,76.0,52.0
92,145.0,77.0,52.0
93,145.0,78.0,52.0
94,145.0,79.0,52.0
95,145.0,80.0,52.0
96,145.0,81.0,52.0
97,145.0,82.0,52.0
98,145.0,83.0,52.0
99,145.0,84.0,52.0
100,145.0,85.0,52.0
101,145.0,86.0,52.0
102,145.0,87.0,52.0
103,145.0,88.0,52.0
104,145.0,89.0,52.0
105,145.0,90.0,52.0
106,145.0,91.0,52.0
107,145.0,92.0,52.0
108,145.0,93.0,52.0
109,145.0,94.0,52.0
110,145.0,95.0,52.0
111,145.0,96.0,52.0
112,145.0,97.0,52.0
113,145.0,98.0,52.0
114,145.0,99.0,52.0
115,145.0,100.0,52.0
116,145.0,101.0,52.0
117,145.0,102.0,52.0
118,145.0,103.0,52.0
119,145.0,104.0,52.0
120,145.0,105.0,52.0
121,145.0,104.0,52.0
122,145.0,103.0,52.0
123,145.0,102.0,52.0
124,145.0,101.0,52.0
125,145.0,100.0,52.0
126,145.0,99.0,52.0
127,145.0,98.0,52.0
128,145.0,97.0,52.0
129,145.0,96.0,52.0
130,145.0,95.0,52.0
131,145.0,96.0,52.0
132,145.0,97.0,52.0
133,145.0,98.0,52.0
134,145.0,99.0,52.0
135,145.0,100.0,52.0
136,145.0,101.0,52.0
137,145.0,102.0,52.0
138,145.0,103.0,52.0
139,145.0,104.0,52.0
140,145.0,105.0,52.0
141,145.0,106.0,52.0
142,145.0,107.0,52.0
143,145.0,108.0,52.0
144,145.0,109.0,52.0
145,145.0,110.0,52.0
146,145.0,111.0,52.0
147,145.0,112.0,52.0
148,145.0,113.0,52.0
149,145.0,114.0,52.0
