index,x_pos,y_pos
0,75.0,345.0
1,75.0,344.0
2,75.0,343.0
3,75.0,342.0
4,75.0,341.0
5,75.0,340.0
6,75.0,339.0
7,75.0,338.0
8,75.0,337.0
9,75.0,336.0
10,75.0,335.0
11,75.0,334.0
12,75.0,333.0
13,75.0,332.0
14,75.0,331.0
15,75.0,330.0
16,75.0,329.0
17,75.0,328.0
18,75.0,327.0
19,75.0,326.0
20,75.0,325.0
21,75.0,326.0
22,75.0,327.0
23,75.0,328.0
24,75.0,329.0
25,75.0,330.0
26,75.0,331.0
27,75.0,332.0
28,75.0,333.0
29,75.0,334.0
30,75.0,335.0
31,75.0,336.0
32,75.0,337.0
33,75.0,338.0
34,75.0,339.0
35,75.0,340.0
36,75.0,341.0
37,75.0,342.0
38,75.0,343.0
39,75.0,344.0
40,75.0,345.0
41,75.0,344.0
42,75.0,343.0
43,75.0,342.0
44,75.0,341.0
45,75.0,340.0
46,75.0,339.0
47,75.0,338.0
48,75.0,337.0
49,75.0,336.0
50,75.0,335.0
51,75.0,334.0
52,75.0,333.0
53,75.0,332.0
54,75.0,331.0
55,75.0,330.0
56,75.0,329.0
57,75.0,328.0
58,75.0,327.0
59,75.0,326.0
60,75.0,325.0
61,75.0,324.0
62,75.0,323.0
63,75.0,322.0
64,75.0,321.0
65,75.0,320.0
66,75.0,319.0
67,75.0,318.0
68,75.0,317.0
69,75.0,316.0
70,75.0,315.0
71,75.0,314.0
72,75.0,313.0
73,75.0,312.0
74,75.0,311.0
75,75.0,310.0
76,75.0,309.0
77,75.0,308.0
78,75.0,307.0
79,75.0,306.0
80,75.0,305.0
81,75.0,304.0
82,75.0,303.0
83,75.0,302.0
84,75.0,301.0
85,75.0,300.0
86,75.0,299.0
87,75.0,298.0
88,75.0,297.0
89,75.0,296.0
90,75.0,295.0
91,75.0,294.0
92,75.0,293.0
93,75.0,292.0
94,75.0,291.0
95,75.0,290.0
96,75.0,289.0
97,75.0,288.0
98,75.0,287.0
99,75.0,286.0
100,75.0,285.0
101,74.0,285.0
102,73.0,285.0
103,72.0,285.0
104,71.0,285.0
105,70.0,285.0
106,69.0,285.0
107,68.0,285.0
108,67.0,285.0
109,66.0,285.0
110,65.0,285.0
111,66.0,285.0
112,67.0,285.0
113,68.0,285.0
114,69.0,285.0
115,70.0,285.0
116,71.0,285.0
117,72.0,285.0
118,73.0,285.0
119,74.0,285.0
120,75.0,285.0
121,75.0,284.0
122,75.0,283.0
123,75.0,282.0
124,75.0,281.0
125,75.0,280.0
126,75.0,279.0
127,75.0,278.0
128,75.0,277.0
129,75.0,276.0
130,75.0,275.0
131,75.0,276.0
132,75.0,277.0
133,75.0,278.0
134,75.0,279.0
135,75.0,280.0
136,75.0,281.0
137,75.0,282.0
138,75.0,283.0
139,75.0,284.0
140,75.0,285.0
141,76.0,285.0
142,77.0,285.0
143,78.0,285.0
144,79.0,285.0
145,80.0,285.0
146,81.0,285.0
147,82.0,285.0
148,83.0,285.0
149,84.0,285.0
150,85.0,285.0
151,84.0,285.0
152,83.0,285.0
153,82.0,285.0
154,81.0,285.0
155,80.0,285.0
156,79.0,285.0
157,78.0,285.0
158,77.0,285.0
159,76.0,285.0
160,75.0,285.0
161,75.0,284.0
162,75.0,283.0
163,75.0,282.0
164,75.0,281.0
165,75.0,280.0
166,75.0,279.0
167,75.0,278.0
168,75.0,277.0
169,75.0,276.0
170,75.0,275.0
171,75.0,274.0
172,75.0,273.0
173,75.0,272.0
174,75.0,271.0
175,75.0,270.0
176,75.0,269.0
177,75.0,268.0
178,75.0,267.0
179,75.0,266.0
180,75.0,265.0
181,75.0,264.0
182,75.0,263.0
183,75.0,262.0
184,75.0,261.0
185,75.0,260.0
186,75.0,259.0
187,75.0,258.0
188,75.0,257.0
189,75.0,256.0
190,75.0,255.0
191,75.0,256.0
192,75.0,257.0
193,75.0,258.0
194,75.0,259.0
195,75.0,260.0
196,75.0,261.0
197,75.0,262.0
198,75.0,263.0
199,75.0,264.0
200,75.0,265.0
201,75.0,264.0
202,75.0,263.0
203,75.0,262.0
204,75.0,261.0
205,75.0,260.0
206,75.0,259.0
207,75.0,258.0
208,75.0,257.0
209,75.0,256.0
210,75.0,255.0
211,75.0,254.0
