index,x_pos,y_pos
0,285.0,45.0
1,285.0,46.0
2,285.0,47.0
3,285.0,48.0
4,285.0,49.0
5,285.0,50.0
6,285.0,51.0
7,285.0,52.0
8,285.0,53.0
9,285.0,54.0
10,285.0,55.0
11,285.0,54.0
12,285.0,53.0
13,285.0,52.0
14,285.0,51.0
15,285.0,50.0
16,285.0,49.0
17,285.0,48.0
18,285.0,47.0
19,285.0,46.0
20,285.0,45.0
21,285.0,46.0
22,285.0,47.0
23,285.0,48.0
24,285.0,49.0
25,285.0,50.0
26,285.0,51.0
27,285.0,52.0
28,285.0,53.0
29,285.0,54.0
30,285.0,55.0
31,285.0,54.0
32,285.0,53.0
33,285.0,52.0
34,285.0,51.0
35,285.0,50.0
36,285.0,49.0
37,285.0,48.0
38,285.0,47.0
39,285.0,46.0
40,285.0,45.0
41,285.0,46.0
42,285.0,47.0
43,285.0,48.0
44,285.0,49.0
45,285.0,50.0
46,285.0,51.0
47,285.0,52.0
48,285.0,53.0
49,285.0,54.0
50,285.0,55.0
51,285.0,54.0
52,285.0,53.0
53,285.0,52.0
54,285.0,51.0
55,285.0,50.0
56,285.0,49.0
57,285.0,48.0
58,285.0,47.0
59,285.0,46.0
60,285.0,45.0
61,285.0,44.0
62,285.0,43.0
63,285.0,42.0
64,285.0,41.0
65,285.0,40.0
66,285.0,39.0
67,285.0,38.0
68,285.0,37.0
69,285.0,36.0
70,285.0,35.0
71,285.0,34.0
72,285.0,33.0
73,285.0,32.0
74,285.0,31.0
75,285.0,30.0
76,285.0,29.0
77,285.0,28.0
78,285.0,27.0
79,285.0,26.0
80,285.0,25.0
81,285.0,26.0
82,285.0,27.0
83,285.0,28.0
84,285.0,29.0
85,285.0,30.0
86,285.0,31.0
87,285.0,32.0
88,285.0,33.0
89,285.0,34.0
90,285.0,35.0
91,285.0,34.0
92,285.0,33.0
93,285.0,32.0
94,285.0,31.0
95,285.0,30.0
96,285.0,29.0
97,285.0,28.0
98,285.0,27.0
99,285.0,26.0
100,285.0,25.0
101,285.0,26.0
102,285.0,27.0
103,285.0,28.0
104,285.0,29.0
105,285.0,30.0
106,285.0,31.0
107,285.0,32.0
108,285.0,33.0
109,285.0,34.0
110,285.0,35.0
111,285.0,36.0
112,285.0,37.0
113,285.0,38.0
114,285.0,39.0
115,285.0,40.0
116,285.0,41.0
117,285.0,42.0
118,285.0,43.0
119,285.0,44.0
120,285.0,45.0
121,285.0,46.0
122,285.0,47.0
